사업자등록번호,기업명,대표자명
1050970497,티디자인,정승진
1050977729,케이지웨이브,박수범
1050980618,후이커뮤니케이션,강기수
1050984706,네오밸류,김문환
1051031035,비사이드소프트,맹기완
1051037572,머스트,김태훈
1051044262,씨케이컴퍼티,최성호
1051046241,씨엘,박성진
1051046668,십년후연구소,송성희
1051081404,파란정보기술,최재용
1051086127,비케이미디어,백광호
1051117535,시드,송승환
1051127159,그레이스텍,정문훈
1051131920,휴먼베이스,김홍식
1051186124,블루시스템,황성환
1051193116,신흥이앤비,김형태
1051196675,유니솔루션,송규환
1051199556,진원테크,신숙희
1051238124,찬우물,이지선
1051245192,아름나무,유원식
1051290149,이비,박은정
1051299140,마포타임즈,김애미
1051344701,세현,오세호
1051399865,웹워커,조상현
1051449135,엠제이뮤직,김명종
1051475875,제이디솔루션,박희준
1051476627,다온소프트,최현주
1051552578,앤플로우,정희태
1051614964,인디크라운,강현철
1051621960,레일라소프트,임종혁
1051626892,레인보우디자인,김창수
1051636139,글로소프트,정윤준
1051639984,버뮤다프로젝트,이동준
1051658147,활불교문화단,신대현
1051679031,제이투엘,박주만
1051741736,도서출판따비,박성경
1051747254,그린망고쉐이크,정혜원
1051775217,아이에스미디어,안기원
1051778607,노리컴퍼니,박천휘
1051780461,피에이치세븐,신유정
1051780888,네오닉스,이재도
1051824165,어테이,이진형
1051830522,텐비트,이승남
1051830672,억스벅스,강경한
1051835264,아홉번째서재,이구
1051841844,도서출판이즘,김성민
1051846679,레드라인타투,이병주
1051846776,다이얼엠,류형기
1051852899,마카롱씨,김태?
1051858592,에디션더블유,이숙향
1051859043,미디어코리아,이진오
1051859121,커맨드,이희경
1051859330,계단,서영준
1051867543,낭만판다,양정희
1051875418,감성놀이터,최석영
1051880508,상상숲,김혜숙
1051882544,언플러그드,강진형
1051882923,신흥미디어,윤종목
1051896975,필름품,김자경
1051898804,레드스톤,김보경
1051931358,사비필름,정준영
1051936917,비즈원,이주용
1051937444,드림웍,이정식
1051937594,퍼스트에이드,양일우
1051938083,나이스,김정옥
1051941012,스핀무브,정준영
1051946389,콜럼버스,강경민
1051976049,원더풀미디어,유동윤
1051977295,써니아일랜드,심준우
1051979065,모노폴리,임상묵
1051979236,나눔아이씨티,장승호
1051980029,다연소프트,김철승
1051983875,도그필름,한대희
1051985913,맥스시스템,채수찬
1051986154,노란잠수함,김정남
1051986417,정예씨출판사,강정예
1051996292,풍류픽쳐스,조기행
1051997627,크로스웨이미디어,임동혁
1052013036,도서출판경계,최재훈
1052015747,포지션,차재일
1052018685,삽기획,정명훈
1052020217,베리투머치,박중석
1052021308,에이브로스,박순빈
1052021424,올댓북스,이영미
1052022947,케이컴즈,이소영
1052025134,미디어케이,김태영
1052035398,제이투컴퍼니,장진석
1052035947,플레인,백준오
1052036058,러닝베리스,류주희
1052041944,셀럽커뮤니케이션즈,김재중
1052047652,고래방,최지은
1052048137,더크로스,송요한
1052053168,넥스트온,김현철
1052054454,아이엠푸드스타일리스트,김현학
1052057558,쟁이프로덕션,박미남
1052067624,생각정원,박재호
1052071472,영화사만화경,최승연
1052072210,와이즈이엔엠,이용성
1052073937,위드컴퍼니,박동춘
1052074218,미디어봄,박상우
1052075288,미디어인스피레이션,양예은
1052075600,페디트,김선희
1052077739,베리띵즈,윤숙경
1052079775,아이덴,신동주
1052123230,티지소프트,김태균
1052123720,비디오브라더스,정상화
1052126595,마실,김명규
1052175233,비엔씨미디어,정용운
1052188795,미디어인,김성식
1052234559,공간플러스,진현영
1052693099,파피루스,윤성희
1052972436,엘알,안태경
1053361519,범우사,윤형두
1053752037,피앤에스솔루션,박종범
1058140913,국민일보(주),변재운
1058145524,(주)이랜드이노플,김지원
1058149044,아란타(주),윤상권
1058149480,정방교역(주),권영주
1058156720,(주)한국비즈넷,김민중
1058162300,(주)코아텍,김성모
1058164860,국민서관(주),문상수
1058165267,엔이능률,주민홍
1058168338,(주)오에스에스에듀그룹,오성식
1058168584,(주)레이웍스,한동민
1058169021,(주)도서출판길벗,이종원
1058176221,(주)신영비젼,한주필
1058180119,(주)로지시스,이규현
1058181025,(주)네트빌,김효제
1058181141,(주)산들네트웍스,안정화
1058183080,(주)시스네트정보,김석철
1058184003,(주)아이포더퓨처,오규철
1058187825,코드정보시스템(주),전춘제
1058190963,(주)우진커넥션,김대환
1058191159,윈텍정보(주),김현생
1058194200,(주)엠웍스,마종범
1058196644,(주)아지정보통신,송두섭
1058198787,(주)네오메디아,강판구
1058199374,(주)티지에스,김학균
1058204476,(재)불교방송,서주영
1058208680,(사)한국출판학회,노병성
1058210717,(사)우리신학연구소,김원호
1058214090,(사)마포공동체라디오,송덕호
1058217739,(사)한국영상미디어교육협회,이상훈
1058218024,(사)미디액트,이상훈
1058218247,서울독립영화제,임창재
1058218951,서부운전면허시험장,박영조
1058219251,(사)한국전화결제산업협회,진성호
1058219566,(재)한국특허정보원,강경호
1058269163,교육을바꾸는사람들,이찬승
1058271034,교육공동체벗,김기언
1058300201,서울마포우체국,임인택
1058406177,드림메이커엔터테인먼트리미티드,김성학
1058535043,(주)다산북스,김선식
1058536682,(주)에스엠컬처앤콘텐츠,한세민
1058600920,(주)엠이코리아,이재명
1058601026,(주)나우티앤에스,김영규
1058602802,(주)윕스,이형칠
1058602821,(주)지오피아,최경재
1058603456,(주)아이엘에스커뮤니케이션,이승호
1058605380,(주)한국경총인증원,김동원
1058605487,(주)나스컴아이엔씨,이춘규
1058606244,리얼타임비쥬얼(주),이상민
1058606303,(주)수학사랑,장혁
1058606434,(주)케이디정보기술,이종오
