index,사업자등록번호,기업명,대표자명,c_index,c_name
29799,3918600138,(주)엑솔,윤서일,58,정보통신업
29833,3938100745,아이스타일(주),박우석,58,정보통신업
5189,1058716206,(주)라운드원,신동우,58,정보통신업
29831,3938100110,(주)팔네트웍스,최현식,58,정보통신업
524,1019131196,케이제이에이치,김재훈,58,정보통신업
34215,6178160824,(주)귀광전력,김삼환,58,정보통신업
523,1019130450,고래뱃속,김구경,58,정보통신업
522,1019085278,랭기지북스,조경아,58,정보통신업
34219,6178164999,유비시스(주),이희중,58,정보통신업
5192,1058716808,(주)나라지식정보,손영호,58,정보통신업
5194,1058716924,(주)휴엔시스템,최재득,58,정보통신업
5197,1058717020,(주)카이젠컨설팅,남성욱,58,정보통신업
520,1019079761,느티나무아래,옥지인,58,정보통신업
29821,3928801342,(주)디에이치테크,정덕균,58,정보통신업
519,1019078063,마리북스,정은영,58,정보통신업
504,1019012585,도서출판다림,한혁수,58,정보통신업
5212,1058720374,(주)미디어캔,이호승,58,정보통신업
29815,3928100868,(주)앤디소프트,김세호,58,정보통신업
29814,3928100742,(주)슈펙스펀드,안세준,58,정보통신업
5216,1058720850,터닝포인트아카데미,정상석,58,정보통신업
34222,6178165421,조아라,이수희,58,정보통신업
32171,4218800544,(주)양지씨앤에스,윤영직,58,정보통신업
5220,1058721179,(주)빌리브라운,김수랑,58,정보통신업
29808,3918800976,(주)자화상,남기성,58,정보통신업
5221,1058721320,(주)인플래닛,염정봉,58,정보통신업
29804,3918701338,(주)큐브웍스,이상진,58,정보통신업
29803,3918700213,(주)무브,최민석,58,정보통신업
29802,3918600986,(주)알앤비네트웍스,김영진,58,정보통신업
5228,1058722673,한겨레교육(주),김창석,58,정보통신업
34223,6178172581,(주)에스티오,임주택,58,정보통신업
34224,6178175254,한국기업정보(주),김상훈,58,정보통신업
29816,3928700098,(주)피터앤데이브,정영근,58,정보통신업
34213,6178157256,(주)블루솜,송호진,58,정보통신업
502,1019008704,공옥출판사,백석기,58,정보통신업
34251,6178616662,(주)에스엔씨,신정석,58,정보통신업
34264,6180383064,하자시스템,김효경,58,정보통신업
31744,4108801126,(주)소울테크놀로지,차용욱,58,정보통신업
497,1018800150,(주)생리옹,성현용,58,정보통신업
34266,6188126552,(주)디온랩,정선희,58,정보통신업
29729,3888100160,(주)에듀디아,김영기,58,정보통신업
496,1018800053,(주)인포가이드코리아,채정석,58,정보통신업
34268,6188600222,(주)아일리스,박재현,58,정보통신업
34269,6188600386,(주)헤르스,김형석,58,정보통신업
34270,6188701193,(주)위드테크놀러지,홍희림,58,정보통신업
34272,6188800809,(주)모자이크펀딩,나홍석,58,정보통신업
34273,6190172697,열린세상,박남기,58,정보통신업
490,1018701415,(주)메이엔,정상신,58,정보통신업
5281,1058733826,(주)그린비출판사,유재건,58,정보통신업
488,1018693636,(주)영화사오원,오원석,58,정보통신업
34276,6198107280,(주)비티씨코리아서비스,강두식,58,정보통신업
487,1018691768,(주)큐앤디컨설팅,김규돈,58,정보통신업
34278,6198701293,(주)스카이넷,지현근,58,정보통신업
34279,6198800461,(주)한국디지털포렌식센터,최운영,58,정보통신업
485,1018690546,(주)피터스컨설팅,조은성,58,정보통신업
34282,6200375553,진자동화,유진,58,정보통신업
29725,3884200176,중고폰브라더스,박준범,58,정보통신업
29723,3883300102,다현정보통신,김현규,58,정보통신업
